group,element,private_creator,vr,vm,keyword,name,description,retired,vendors,sources
0008,0308,,US,1,PrivateDataElement,Private Data Element,,N,standard,PS3.6
0008,0309,,UL,1-3,PrivateDataElementValueMultiplicity,Private Data Element Value Multiplicity,,N,standard,PS3.6
0008,030A,,CS,1,PrivateDataElementValueRepresentation,Private Data Element Value Representation,,N,standard,PS3.6
0008,030B,,UL,1-2,PrivateDataElementNumberOfItems,Private Data Element Number of Items,,N,standard,PS3.6
0008,030C,,UC,1,PrivateDataElementName,Private Data Element Name,,N,standard,PS3.6
0008,030D,,UC,1,PrivateDataElementKeyword,Private Data Element Keyword,,N,standard,PS3.6
0008,030E,,UT,1,PrivateDataElementDescription,Private Data Element Description,,N,standard,PS3.6
0008,030F,,UT,1,PrivateDataElementEncoding,Private Data Element Encoding,,N,standard,PS3.6
0008,0310,,SQ,1,PrivateDataElementDefinitionSequence,Private Data Element Definition Sequence,,N,standard,PS3.6
0008,0400,,SQ,1,ScopeOfInventorySequence,Scope of Inventory Sequence,,N,standard,PS3.6
0008,0401,,LT,1,InventoryPurpose,Inventory Purpose,,N,standard,PS3.6
0008,0402,,LT,1,InventoryInstanceDescription,Inventory Instance Description,,N,standard,PS3.6
0008,0403,,CS,1,InventoryLevel,Inventory Level,,N,standard,PS3.6
0008,0404,,DT,1,ItemInventoryDateTime,Item Inventory DateTime,,N,standard,PS3.6
0008,0405,,CS,1,RemovedFromOperationalUse,Removed from Operational Use,,N,standard,PS3.6
0008,0406,,SQ,1,ReasonForRemovalCodeSequence,Reason for Removal Code Sequence,,N,standard,PS3.6
0008,0407,,UR,1,StoredInstanceBaseURI,Stored Instance Base URI,,N,standard,PS3.6
0008,0408,,UR,1,FolderAccessURI,Folder Access URI,,N,standard,PS3.6
0008,0409,,UR,1,FileAccessURI,File Access URI,,N,standard,PS3.6
0008,040A,,CS,1,ContainerFileType,Container File Type,,N,standard,PS3.6
0008,040B,,UR,1,FilenameInContainer,Filename in Container,,N,standard,PS3.6
0008,040C,,UV,1,FileOffsetInContainer,File Offset in Container,,N,standard,PS3.6
0008,040D,,UV,1,FileLengthInContainer,File Length in Container,,N,standard,PS3.6
0008,040E,,UI,1,StoredInstanceTransferSyntaxUID,Stored Instance Transfer Syntax UID,,N,standard,PS3.6
0008,040F,,CS,1-n,ExtendedMatchingMechanisms,Extended Matching Mechanisms,,N,standard,PS3.6
0008,0410,,SQ,1,RangeMatchingSequence,Range Matching Sequence,,N,standard,PS3.6
0008,0411,,SQ,1,ListOfUIDMatchingSequence,List of UID Matching Sequence,,N,standard,PS3.6
0008,0412,,SQ,1,EmptyValueMatchingSequence,Empty Value Matching Sequence,,N,standard,PS3.6
0008,0413,,SQ,1,GeneralMatchingSequence,General Matching Sequence,,N,standard,PS3.6
0008,0414,,US,1,RequestedStatusInterval,Requested Status Interval,,N,standard,PS3.6
0008,0415,,CS,1,RetainInstances,Retain Instances,,N,standard,PS3.6
0008,0416,,DT,1,ExpirationDateTime,Expiration DateTime,,N,standard,PS3.6
0008,0417,,CS,1,TransactionStatus,Transaction Status,,N,standard,PS3.6
0008,0418,,LT,1,TransactionStatusComment,Transaction Status Comment,,N,standard,PS3.6
0008,0419,,SQ,1,FileSetAccessSequence,File Set Access Sequence,,N,standard,PS3.6
0008,041A,,SQ,1,FileAccessSequence,File Access Sequence,,N,standard,PS3.6
0008,041B,,OB,1,RecordKey,Record Key,,N,standard,PS3.6
0008,041C,,OB,1,PriorRecordKey,Prior Record Key,,N,standard,PS3.6
0008,041D,,SQ,1,MetadataSequence,Metadata Sequence,,N,standard,PS3.6
0008,041E,,SQ,1,UpdatedMetadataSequence,Updated Metadata Sequence,,N,standard,PS3.6
0008,041F,,DT,1,StudyUpdateDateTime,Study Update DateTime,,N,standard,PS3.6
0008,0420,,SQ,1,InventoryAccessEndPointsSequence,Inventory Access End Points Sequence,,N,standard,PS3.6
0008,0421,,SQ,1,StudyAccessEndPointsSequence,Study Access End Points Sequence,,N,standard,PS3.6
0008,0422,,SQ,1,IncorporatedInventoryInstanceSequence,Incorporated Inventory Instance Sequence,,N,standard,PS3.6
0008,0423,,SQ,1,InventoriedStudiesSequence,Inventoried Studies Sequence,,N,standard,PS3.6
0008,0424,,SQ,1,InventoriedSeriesSequence,Inventoried Series Sequence,,N,standard,PS3.6
0008,0425,,SQ,1,InventoriedInstancesSequence,Inventoried Instances Sequence,,N,standard,PS3.6
0008,0426,,CS,1,InventoryCompletionStatus,Inventory Completion Status,,N,standard,PS3.6
0008,0427,,UL,1,NumberOfStudyRecordsInInstance,Number of Study Records in Instance,,N,standard,PS3.6
0008,0428,,UV,1,TotalNumberOfStudyRecords,Total Number of Study Records,,N,standard,PS3.6
0008,0429,,UV,1,MaximumNumberOfRecords,Maximum Number of Records,,N,standard,PS3.6
0008,1000,,AE,1,NetworkID,Network ID,,Y,standard,PS3.6
